#NAME,D16B1,D16B2,D16B3,D16B4,D16B5,D16C1,D16C2,D16C3,D16C4,D16C5,D16T1,D16T2,D16T3,D16T4,D23B1,D23B2,D23B3,D23B4,D23B5,D23C1,D23C2,D23C3,D23C4,D23C5,D23T1,D23T2,D23T3,D23T4,D8B1,D8B2,D8B3,D8B4,D8B5,D8C1,D8C2,D8C3,D8C4,D8C5,D8T1,D8T2,D8T3,D8T4,F1D20B1,F1D20B2,F1D20B3,F1D20B4,F1D20B5,F1D20C1,F1D20C2,F1D20C3,F1D20C4,F1D20C5,F1D20T1,F1D20T2,F1D20T3,F1D20T4
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Peptoniphilaceae,g:Peptoniphilus",1,1,2,37,2,0,5,2,2,124,3,3,0,6,0,5,9,39,1,0,5,0,8,7,1,4,7,12,5,0,0,0,0,0,0,3,0,62,1,1,0,1,0,10,13,58,8,0,17,5,33,86,12,6,1,30
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Bacteroidaceae,g:Bacteroides",0,0,3,1,0,0,0,4,11,1,5,1,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,3,17,0,74,0,33,1,117,49,5,2,0,4,4,0,0,0,1,1,0,0,6,5,1,1,0,0,0
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Bacteroidaceae,g:Bacteroides",14,0,1,2,3,0,7,17,9,5,100,27,54,32,11,12,0,2,2,0,2,11,7,2,47,1,58,33,10,22,13,4,4,21,44,43,25,8,135,2,18,28,1,6,1,12,1,0,8,38,13,2,75,5,29,28
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Anaerostipes",1,0,0,1,4,0,0,0,2,0,0,0,0,9,182,2,7,118,0,0,58,9,5,0,0,3,0,5,0,2,0,5,0,5,2,2,2,0,0,0,10,1,87,24,0,10,0,0,97,42,87,2,1,0,0,17
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Peptostreptococcaceae,g:Clostridium_XI",56,30,74,25,122,54,40,49,33,83,1,1,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Bifidobacteriales,f:Bifidobacteriaceae,g:Bifidobacterium",1,6,2,18,11,78,10,0,1,59,2,4,0,0,14,6,1,4,8,0,2,4,1,5,0,0,0,0,0,4,0,5,3,5,0,0,0,36,0,2,2,0,3,17,3,9,35,5,3,12,13,8,0,0,0,0
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Porphyromonadaceae,g:Parabacteroides",15,4,0,0,2,24,27,117,41,8,16,156,33,36,4,5,0,1,1,0,10,16,4,4,7,2,20,41,11,2,5,6,5,0,1,4,8,14,10,31,0,3,0,0,0,4,0,0,19,41,5,2,15,10,15,44
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus",0,0,5,0,1,0,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,76,1,10,0,10,1,8,15,0,3,0,4,0,0,2,0,3,0,0,1,0,0,0,0,0,0
"d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales",1,0,0,0,2,6,0,0,0,5,10,42,12,2,0,0,1,81,0,62,17,1,12,8,0,2,10,2,1,10,15,1,4,4,3,27,13,178,6,17,15,3,0,0,0,1,0,34,26,61,6,2,4,3,9,8
"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales,f:Enterobacteriaceae,g:Klebsiella",0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Holdemanella",0,0,0,0,0,0,2,0,0,4,42,41,4,2,0,0,0,0,0,0,0,0,0,0,40,44,18,0,8,6,6,5,4,17,2,0,2,6,13,4,10,3,0,0,0,0,0,1,0,1,0,1,39,45,5,3
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Oscillibacter",0,0,0,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,3,0,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,2,0,0,0,0,0,2,0,0,1,0,0,0,2,6,1,2,98,11,0,2,0,5,21,0,0,0,4,7,0,1,0,0,0,0,0,0,0
